dataset_id_x,id_x,acceptedNameUsage,acceptedNameUsageID,accessRights,aphiaid,areas,associatedMedia,associatedOccurrences,associatedOrganisms,associatedReferences,associatedSequences,associatedTaxa,basisOfRecord,bathymetry,bed,behavior,bibliographicCitation,brackish,caste,catalogNumber,class,classid,collectionCode,collectionID,continent,coordinatePrecision,coordinateUncertaintyInMeters,country,countryCode,county,cultivarEpithet,dataGeneralizations,datasetID,datasetName,dateIdentified,date_end,date_mid,date_start,date_year,day,decimalLatitude,decimalLongitude,degreeOfEstablishment,depth,disposition,division,divisionid,domain,domainid,dynamicProperties,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,endDayOfYear,establishmentMeans,eventDate,eventID,eventRemarks,eventTime,eventType,family,familyid,fieldNotes,fieldNumber,footprintSRS,footprintSpatialFit,footprintWKT,forma,formaid,formation,genericName,genus,genusid,geodeticDatum,geologicalContextID,georeferenceProtocol,georeferenceRemarks,georeferenceSources,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,gigaclass,gigaclassid,group,hab,habitat,higherClassification,higherGeography,higherGeographyID,highestBiostratigraphicZone,identificationID,identificationQualifier,identificationReferences,identificationRemarks,identificationVerificationStatus,identifiedBy,identifiedByID,individualCount,informationWithheld,infraclass,infraclassid,infragenericEpithet,infrakingdom,infrakingdomid,infraorder,infraorderid,infraphylum,infraphylumid,infraspecificEpithet,institutionCode,institutionID,island,islandGroup,kingdom,kingdomid,language,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,license,lifeStage,lithostratigraphicTerms,locality,locationAccordingTo,locationID,locationRemarks,lowestBiostratigraphicZone,marine,materialEntityID,materialEntityRemarks,materialSampleID,maximumDepthInMeters,maximumDistanceAboveSurfaceInMeters,maximumElevationInMeters,megaclass,megaclassid,member,minimumDepthInMeters,minimumDistanceAboveSurfaceInMeters,minimumElevationInMeters,modified,month,municipality,nameAccordingTo,nameAccordingToID,namePublishedIn,namePublishedInID,namePublishedInYear,nomenclaturalCode,nomenclaturalStatus,occurrenceID,occurrenceRemarks,occurrenceStatus,order,orderid,organismID,organismName,organismQuantity,organismQuantityType,organismRemarks,organismScope,originalNameUsage,originalNameUsageID,otherCatalogNumbers,ownerInstitutionCode,parentEventID,parentNameUsage,parentNameUsageID,parvorder,parvorderid,parvphylum,parvphylumid,pathway,phylum,phylum_division,phylum_divisionid,phylumid,pointRadiusSpatialFit,preparations,previousIdentifications,recordNumber,recordedBy,recordedByID,redlist_category,references,reproductiveCondition,rightsHolder,sampleSizeUnit,sampleSizeValue,samplingEffort,samplingProtocol,scientificName,scientificNameAuthorship,scientificNameID,section,sectionid,sex,shoredistance,species,speciesid,specificEpithet,sss,sst,startDayOfYear,stateProvince,subclass,subclassid,subdivision,subdivisionid,subfamily,subfamilyid,subforma,subformaid,subgenus,subgenusid,subkingdom,subkingdomid,suborder,suborderid,subphylum,subphylum_subdivision,subphylum_subdivisionid,subphylumid,subsection,subsectionid,subspecies,subspeciesid,subterclass,subterclassid,subtribe,subtribeid,subvariety,subvarietyid,superclass,superclassid,superdomain,superdomainid,superfamily,superfamilyid,superorder,superorderid,supertribe,supertribeid,taxonConceptID,taxonID,taxonRank,taxonRemarks,taxonomicStatus,tribe,tribeid,type,typeStatus,unaccepted,variety,varietyid,verbatimCoordinateSystem,verbatimCoordinates,verbatimDepth,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLabel,verbatimLatitude,verbatimLocality,verbatimLongitude,verbatimSRS,verbatimTaxonRank,vernacularName,verticalDatum,vitality,waterBody,wrims,year,originalScientificName,flags,dropped,absence,dataset_id_y,id_y,measurementAccuracy,measurementDeterminedBy,measurementDeterminedDate,measurementID,measurementMethod,measurementRemarks,measurementType,measurementTypeID,measurementUnit,measurementUnitID,measurementValue,measurementValueID
7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,0235e42d-98dc-4313-b387-eb7bce3ee525,,,,206924,"[111, 112, 40032, 34269]",,,,"Records based on voucher specimens held in FORV Referral Centre, CMLRE",,,PreservedSpecimen,955,,,,TRUE,,IO/SS/FIS/00085,Teleostei,293496,voucher specimen collections,IndOBIS Dataset,,,,,,,,,,,,1.27673E+12,1.27673E+12,1.27673E+12,2010,,9.93,75.5,,442.5,,,,,,,,,,,,,,2010-06-17,SS27622,,,,Engraulidae,125465,,,,,,,,,,Stolephorus,206924,,,,,,,,,Actinopterygii,10194,,,,,,,,,,,,,"Sree Renjima G, C. B. Lalithambika Devi, CMLRE",,1,,,,,,,,,Gnathostomata,1828,,CMLRE,,,,Animalia,2,,,,,,,,Larvae,,Off Kochi,,,,,TRUE,,,,885,,,,,,0,,,,,,,,,,,,,87613,,present,Clupeiformes,10297,,,,,,,,,,,,,,,,Osteichthyes,152352,,Chordata,,,1821,,,,,,,,,,,,,,Bongo Net,Stolephorus,,urn:lsid:marinespecies.org:taxname:206924,,,,77516,,,,34.55,28.64,,,,,,,,,,,,,,,,,Vertebrata,,,146419,,,,,,,,,,,Actinopteri,843664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,Stolephorus,[],FALSE,FALSE,7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,0235e42d-98dc-4313-b387-eb7bce3ee525,,,,,,,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,,,Postflexion Larvae,http://vocab.nerc.ac.uk/collection/S11/current/S1190/
7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,4646dc70-859b-48ad-b693-8836e7813238,,,,126057,"[111, 112, 40032, 34269]",,,,"Records based on voucher specimens held in FORV Referral Centre, CMLRE",,,PreservedSpecimen,966,,,,TRUE,,IO/SS/FIS/00100,Teleostei,293496,voucher specimen collections,IndOBIS Dataset,,,,,,,,,,,,1.27604E+12,1.27604E+12,1.27604E+12,2010,,8.43,76.12,,485,,,,,,,,,,,,,,2010-06-09,SS27611,,,,Scombridae,125559,,,,,,,,,,Auxis,126057,,,,,,,,,Actinopterygii,10194,,,,,,,,,,,,,"Sree Renjima G, C. B. Lalithambika Devi, CMLRE",,1,,,,,,,,,Gnathostomata,1828,,CMLRE,,,,Animalia,2,,,,,,,,Larvae,,Off Thiruvananthapuram,,,,,TRUE,,,,970,,,,,,0,,,,,,,,,,,,,87628,,present,Scombriformes,1517490,,,,,,,,,,,,,,,,Osteichthyes,152352,,Chordata,,,1821,,,,,,,,,,,,,,Bongo Net,Auxis,,urn:lsid:marinespecies.org:taxname:126057,,,,70017,,,,34.42,28.55,,,,,,,Scombrinae,267118,,,,,,,,,Vertebrata,,,146419,,,,,,,,,,,Actinopteri,843664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auxis,[],FALSE,FALSE,7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,4646dc70-859b-48ad-b693-8836e7813238,,,,,,,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,,,Flexion Larvae,http://vocab.nerc.ac.uk/collection/S11/current/S1189/
7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,70fabaa4-331f-4195-be2c-2673e660c161,,,,212045,"[111, 112, 40032, 34269]",,,,"Records based on voucher specimens held in FORV Referral Centre, CMLRE",,,PreservedSpecimen,966,,,,TRUE,,IO/SS/FIS/00101,Teleostei,293496,voucher specimen collections,IndOBIS Dataset,,,,,,,,,,,,1.27604E+12,1.27604E+12,1.27604E+12,2010,,8.43,76.12,,485,,,,,,,,,,,,,,2010-06-09,SS27611,,,,Sphyraenidae,125565,,,,,,,,,,Sphyraena,126084,,,,,,,,,Actinopterygii,10194,,,,,,,,,,,,,"Sree Renjima G, C. B. Lalithambika Devi, CMLRE",,1,,,,,,,,,Gnathostomata,1828,,CMLRE,,,,Animalia,2,,,,,,,,Larvae,,Off Thiruvananthapuram,,,,,TRUE,,,,970,,,,,,0,,,,,,,,,,,,,87629,,present,Carangaria incertae sedis,1517511,,,,,,,,,,,,,,,,Osteichthyes,152352,,Chordata,,,1821,,,,,,,,,,,,,,Bongo Net,Sphyraena jello,,urn:lsid:marinespecies.org:taxname:212045,,,,70017,Sphyraena jello,212045,,34.42,28.55,,,,,,,,,,,,,,,,,Vertebrata,,,146419,,,,,,,,,,,Actinopteri,843664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sphyraena jello,[],FALSE,FALSE,7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,70fabaa4-331f-4195-be2c-2673e660c161,,,,,,,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,,,Postflexion Larvae,http://vocab.nerc.ac.uk/collection/S11/current/S1190/
7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,3f7e5208-9a86-4eca-a8dc-28e01bc41d6e,,,,212269,"[111, 112, 40032, 34269]",,,,"Records based on voucher specimens held in FORV Referral Centre, CMLRE",,,PreservedSpecimen,966,,,,FALSE,,IO/SS/FIS/00102,Teleostei,293496,voucher specimen collections,IndOBIS Dataset,,,,,,,,,,,,1.27604E+12,1.27604E+12,1.27604E+12,2010,,8.43,76.12,,485,,,,,,,,,,,,,,2010-06-09,SS27611,,,,Dorosomatidae,1618557,,,,,,,,,,Sardinella,125721,,,,,,,,,Actinopterygii,10194,,,,,,,,,,,,,"Sree Renjima G, C. B. Lalithambika Devi, CMLRE",,1,,,,,,,,,Gnathostomata,1828,,CMLRE,,,,Animalia,2,,,,,,,,Larvae,,Off Thiruvananthapuram,,,,,TRUE,,,,970,,,,,,0,,,,,,,,,,,,,87630,,present,Clupeiformes,10297,,,,,,,,,,,,,,,,Osteichthyes,152352,,Chordata,,,1821,,,,,,,,,,,,,,Bongo Net,Sardinella longiceps,,urn:lsid:marinespecies.org:taxname:212269,,,,70017,Sardinella longiceps,212269,,34.42,28.55,,,,,,,,,,,,,,,,,Vertebrata,,,146419,,,,,,,,,,,Actinopteri,843664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sardinella longiceps,[],FALSE,FALSE,7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,3f7e5208-9a86-4eca-a8dc-28e01bc41d6e,,,,,,,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,,,Postflexion Larvae,http://vocab.nerc.ac.uk/collection/S11/current/S1190/
7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,54f56794-d9e8-4d9f-a70d-e2ae13ac00a4,,,,278305,"[111, 112, 40034, 34273]",,,,"Records based on voucher specimens held in FORV Referral Centre, CMLRE",,,PreservedSpecimen,3139,,,,FALSE,,IO/SS/FIS/00103,Teleostei,293496,voucher specimen collections,IndOBIS Dataset,,,,,,,,,,,,1.22973E+12,1.22973E+12,1.22973E+12,2008,,11.63,80.96,,1626,,,,,,,,,,,,,,2008-12-20,SS26051,,,,Bothidae,125576,,,,,,,,,,Crossorhombus,205615,,,,,,,,,Actinopterygii,10194,,,,,,,,,,,,,"C. B. Lalithambika Devi, CMLRE",,1,,,,,,,,,Gnathostomata,1828,,CMLRE,,,,Animalia,2,,,,,,,,Larvae,,,,,,,TRUE,,,,3252,,,,,,0,,,,,,,,,,,,,87631,,present,Pleuronectiformes,10331,,,,,,,,,,,,,,,,Osteichthyes,152352,,Chordata,,,1821,,,,,,,,,,,,,,Bongo Net,Crossorhombus azureus,,urn:lsid:marinespecies.org:taxname:278305,,,,124529,Crossorhombus azureus,278305,,33.44,28.9,,,,,,,,,,,,,,,,,Vertebrata,,,146419,,,,,,,,,,,Actinopteri,843664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crossorhombus azureus,[],FALSE,FALSE,7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,54f56794-d9e8-4d9f-a70d-e2ae13ac00a4,,,,,,,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,,,Postflexion Larvae,http://vocab.nerc.ac.uk/collection/S11/current/S1190/
7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,ce431436-3c5f-4eb8-894b-60e38e36dd2e,,,,278305,"[111, 112, 40034, 34273]",,,,"Records based on voucher specimens held in FORV Referral Centre, CMLRE",,,PreservedSpecimen,3374,,,,FALSE,,IO/SS/FIS/00104,Teleostei,293496,voucher specimen collections,IndOBIS Dataset,,,,,,,,,,,,1.22913E+12,1.22913E+12,1.22913E+12,2008,,13.14,83,,1663.5,,,,,,,,,,,,,,2008-12-13,SS26015,,,,Bothidae,125576,,,,,,,,,,Crossorhombus,205615,,,,,,,,,Actinopterygii,10194,,,,,,,,,,,,,"C. B. Lalithambika Devi, CMLRE",,1,,,,,,,,,Gnathostomata,1828,,CMLRE,,,,Animalia,2,,,,,,,,Larvae,,,,,,,TRUE,,,,3327,,,,,,0,,,,,,,,,,,,,87632,,present,Pleuronectiformes,10331,,,,,,,,,,,,,,,,Osteichthyes,152352,,Chordata,,,1821,,,,,,,,,,,,,,Bongo Net,Crossorhombus azureus,,urn:lsid:marinespecies.org:taxname:278305,,,,286765,Crossorhombus azureus,278305,,33.39,28.77,,,,,,,,,,,,,,,,,Vertebrata,,,146419,,,,,,,,,,,Actinopteri,843664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crossorhombus azureus,[],FALSE,FALSE,7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,ce431436-3c5f-4eb8-894b-60e38e36dd2e,,,,,,,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,,,Postflexion Larvae,http://vocab.nerc.ac.uk/collection/S11/current/S1190/
7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,7c8fd6a7-d5e5-431b-8545-fcbd54354c6f,,,,217663,"[111, 112, 40034, 34273]",,,,"Records based on voucher specimens held in FORV Referral Centre, CMLRE",,,PreservedSpecimen,3523,,,,FALSE,,IO/SS/FIS/00105,Teleostei,293496,voucher specimen collections,IndOBIS Dataset,,,,,,,,,,,,1.22982E+12,1.22982E+12,1.22982E+12,2008,,11.67,81.96,,1775,,,,,,,,,,,,,,2008-12-21,SS26052,,,,Synodontidae,125449,,,,,,,,,,Saurida,125685,,,,,,,,,Actinopterygii,10194,,,,,,,,,,,,,"Sree Renjima G, C. B. Lalithambika Devi, CMLRE",,1,,,,,,,,,Gnathostomata,1828,,CMLRE,,,,Animalia,2,,,,,,,,Larvae,,,,,,,TRUE,,,,3550,,,,,,0,,,,,,,,,,,,,87633,,present,Aulopiformes,10308,,,,,,,,,,,,,,,,Osteichthyes,152352,,Chordata,,,1821,,,,,,,,,,,,,,Bongo Net,Saurida tumbil,,urn:lsid:marinespecies.org:taxname:217663,,,,215227,Saurida tumbil,217663,,33.5,28.88,,,,,,,Harpadontinae,151857,,,,,,,,,Vertebrata,,,146419,,,,,,,,,,,Actinopteri,843664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saurida tumbil,[],FALSE,FALSE,7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,7c8fd6a7-d5e5-431b-8545-fcbd54354c6f,,,,,,,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,,,Postflexion Larvae,http://vocab.nerc.ac.uk/collection/S11/current/S1190/
